id,category,text,dots_wer_pct,cosy_wer_pct,dots_cer_pct,cosy_cer_pct,dots_sim,cosy_sim,dots_rtf,cosy_rtf,wer_winner,sim_winner,rtf_winner
zh_short_30,short_zh,实现社会资源的有效配置,0.00,0.00,0.00,0.00,0.8460,0.8680,0.7772,1.0139,tie,CosyVoice3,dots.tts-mf
zh_short_31,short_zh,推进信息化与工业化深度融合,0.00,0.00,0.00,0.00,0.8628,0.8463,0.7786,0.7719,tie,dots.tts-mf,CosyVoice3
zh_short_32,short_zh,深圳创新投董事长靳海涛表示,0.00,0.00,0.00,0.00,0.8832,0.8161,0.7548,0.6296,tie,dots.tts-mf,CosyVoice3
zh_short_33,short_zh,面对何时结婚的问题,0.00,0.00,0.00,0.00,0.7589,0.7719,0.8192,0.8799,tie,CosyVoice3,dots.tts-mf
zh_short_34,short_zh,价格已基本都在三万到六万之间,0.00,0.00,0.00,0.00,0.8175,0.7839,0.7682,0.7388,tie,dots.tts-mf,CosyVoice3
zh_short_35,short_zh,应尽量简化并购重组审核程序,0.00,0.00,0.00,0.00,0.8280,0.8860,0.7638,0.6472,tie,CosyVoice3,CosyVoice3
zh_short_36,short_zh,预计二零一五年将超过五亿美元,0.00,0.00,0.00,0.00,0.8679,0.8904,0.7866,0.6348,tie,CosyVoice3,CosyVoice3
zh_short_37,short_zh,请帮我搜一下爱你一万年这首歌曲,0.00,0.00,0.00,0.00,0.8844,0.8819,0.7698,0.6339,tie,dots.tts-mf,CosyVoice3
zh_short_38,short_zh,四十八路无人售票,0.00,0.00,0.00,0.00,0.8123,0.8366,0.8507,0.7554,tie,CosyVoice3,CosyVoice3
zh_short_39,short_zh,智慧城市无成熟商业模式,0.00,0.00,0.00,0.00,0.8283,0.8272,0.7761,0.7818,tie,dots.tts-mf,dots.tts-mf
zh_short_40,short_zh,义乌是电子政与务云的先行者,23.08,15.38,23.08,15.38,0.8837,0.8459,0.7457,0.7131,CosyVoice3,dots.tts-mf,CosyVoice3
zh_short_41,short_zh,加快规模试验工作,0.00,0.00,0.00,0.00,0.8455,0.8089,0.8126,0.8189,tie,dots.tts-mf,dots.tts-mf
zh_short_42,short_zh,姚明作为品牌的发起人,0.00,0.00,0.00,0.00,0.8618,0.8025,0.7841,0.8342,tie,dots.tts-mf,dots.tts-mf
zh_short_43,short_zh,确认死者为一名女性,0.00,0.00,0.00,0.00,0.8287,0.8349,0.7547,0.7817,tie,CosyVoice3,dots.tts-mf
zh_short_44,short_zh,四路无人售票第一人民医院站,0.00,0.00,0.00,0.00,0.8819,0.8820,0.7913,0.6419,tie,CosyVoice3,CosyVoice3
zh_short_45,short_zh,关于篮球改革就是要各安其位,0.00,0.00,0.00,0.00,0.8631,0.8693,0.8131,0.6519,tie,CosyVoice3,CosyVoice3
zh_short_46,short_zh,也许以后我们也会考虑,0.00,0.00,0.00,0.00,0.8468,0.8242,0.7455,0.8699,tie,dots.tts-mf,dots.tts-mf
zh_short_47,short_zh,广州处置一起非法干扰航班事件二人轻伤,0.00,0.00,0.00,0.00,0.8684,0.8473,0.7202,0.5910,tie,dots.tts-mf,CosyVoice3
zh_short_48,short_zh,这几年我与姚基金走访了很多中西部贫困地区,0.00,0.00,0.00,0.00,0.9113,0.8967,0.7709,0.6061,tie,dots.tts-mf,CosyVoice3
zh_short_49,short_zh,听着会觉得很高大上两年后谈到智慧城市,0.00,0.00,0.00,0.00,0.8787,0.8887,0.7394,0.6071,tie,CosyVoice3,CosyVoice3
zh_short_50,short_zh,深交所副总经理周明表示,0.00,0.00,0.00,0.00,0.8247,0.8771,0.7556,0.7418,tie,CosyVoice3,CosyVoice3
zh_short_51,short_zh,自从二零一四年涉足跑步领域以来,0.00,0.00,0.00,0.00,0.8423,0.8964,0.7842,0.6089,tie,CosyVoice3,CosyVoice3
zh_short_52,short_zh,供应的增加会加剧积压的风险,0.00,0.00,0.00,0.00,0.7927,0.8405,0.7268,0.7089,tie,CosyVoice3,CosyVoice3
zh_short_53,short_zh,广州失踪女大学生浮尸流花湖警方立案侦查,0.00,21.05,0.00,21.05,0.8930,0.9114,0.7176,0.5777,dots.tts-mf,CosyVoice3,CosyVoice3
zh_short_54,short_zh,广州小楼被立交圈三六零度包围系因赔偿谈不拢,9.52,4.76,9.52,4.76,0.8996,0.8905,0.7502,0.5868,CosyVoice3,dots.tts-mf,CosyVoice3
zh_short_55,short_zh,创业板九十家新上市公司中,0.00,0.00,0.00,0.00,0.8310,0.8737,0.7924,0.6978,tie,CosyVoice3,CosyVoice3
zh_short_56,short_zh,给团队一个必须兑现的承诺,0.00,0.00,0.00,0.00,0.8802,0.8914,0.8111,0.6980,tie,CosyVoice3,CosyVoice3
zh_short_57,short_zh,我说北京房价进入六万元时代,0.00,0.00,0.00,0.00,0.8190,0.8546,0.7961,0.7934,tie,CosyVoice3,CosyVoice3
zh_short_58,short_zh,推出的一站式服务线上线下整合式平台,0.00,0.00,0.00,0.00,0.8855,0.8870,0.7362,0.6025,tie,CosyVoice3,CosyVoice3
zh_short_59,short_zh,五百四十五万七千零,0.00,0.00,0.00,0.00,0.8501,0.8418,0.7864,0.8154,tie,dots.tts-mf,dots.tts-mf
zh_short_60,short_zh,要本着服从国家利益,0.00,0.00,0.00,0.00,0.8544,0.8277,0.7373,0.7896,tie,dots.tts-mf,dots.tts-mf
